task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
1,55,95,1.6875,62.6901,62.6901,60.2351,80.8003,62.6901,73.9993,62.6901,62.6901,58.6113,65.8176,63.0658,2.619118
1,56,96,1.7,62.4366,62.4366,60.1435,80.7006,62.4366,73.9498,62.4366,62.4366,58.435,65.4985,64.2837,2.653298
1,57,97,1.7125,62.367,62.367,60.2307,80.6923,62.367,73.919,62.367,62.367,58.4705,65.4304,64.4087,2.656092
1,58,98,1.725,62.3646,62.3646,60.2002,80.6398,62.3646,73.905,62.3646,62.3646,58.4565,65.3863,64.3745,2.650795
1,59,99,1.7375,62.4868,62.4868,60.1298,80.6859,62.4868,73.986,62.4868,62.4868,58.4579,65.5302,64.1242,2.646833
1,60,100,1.75,62.4466,62.4466,60.2173,80.711,62.4466,73.9173,62.4466,62.4466,58.4952,65.5243,64.0847,2.645767
1,61,101,1.7625,62.379,62.379,60.2372,80.7009,62.379,73.8967,62.379,62.379,58.4764,65.4538,64.2961,2.654068
1,62,102,1.775,62.2893,62.2893,60.248,80.684,62.2893,73.8868,62.2893,62.2893,58.4427,65.3595,64.4923,2.66868
1,63,103,1.7875,62.3662,62.3662,60.2783,80.7037,62.3662,73.9102,62.3662,62.3662,58.5037,65.4495,64.2174,2.665073
1,64,104,1.8,62.4487,62.4487,60.156,80.7079,62.4487,73.954,62.4487,62.4487,58.4508,65.5208,64.091,2.654595
1,65,105,1.8125,62.3486,62.3486,60.203,80.6927,62.3486,73.9077,62.3486,62.3486,58.4367,65.4159,64.3863,2.663323
1,66,106,1.825,62.4169,62.4169,60.1717,80.691,62.4169,73.9554,62.4169,62.4169,58.4527,65.4754,64.2185,2.663507
1,67,107,1.8375,62.4389,62.4389,60.1626,80.7178,62.4389,73.9458,62.4389,62.4389,58.4474,65.5197,64.0776,2.657174
1,68,108,1.85,62.4256,62.4256,60.1633,80.6869,62.4256,73.9487,62.4256,62.4256,58.4514,65.4831,64.1613,2.659751
1,69,109,1.8625,62.4097,62.4097,60.1277,80.6881,62.4097,73.9362,62.4097,62.4097,58.4124,65.4668,64.2504,2.655972
1,70,110,1.875,62.3841,62.3841,60.216,80.6959,62.3841,73.9248,62.3841,62.3841,58.4654,65.4498,64.2993,2.670967
1,71,111,1.8875,62.4149,62.4149,60.2852,80.7317,62.4149,73.9395,62.4149,62.4149,58.5281,65.5146,64.0388,2.665482
1,72,112,1.9,62.3854,62.3854,60.1435,80.6734,62.3854,73.9298,62.3854,62.3854,58.4169,65.435,64.3448,2.663976
1,73,113,1.9125,62.4049,62.4049,60.1278,80.6845,62.4049,73.9352,62.4049,62.4049,58.4119,65.4621,64.2472,2.661215
1,74,114,1.925,62.4907,62.4907,60.1729,80.7063,62.4907,73.9549,62.4907,62.4907,58.4866,65.556,63.9333,2.644396
1,75,115,1.9375,62.3782,62.3782,60.1928,80.6798,62.3782,73.9259,62.3782,62.3782,58.4493,65.4308,64.3613,2.66569
1,76,116,1.95,62.4876,62.4876,60.1581,80.7071,62.4876,73.968,62.4876,62.4876,58.4735,65.5565,63.9613,2.657375
1,77,117,1.9625,62.3871,62.3871,60.2079,80.6898,62.3871,73.9312,62.3871,62.3871,58.4636,65.447,64.3303,2.667061
1,78,118,1.975,62.463,62.463,60.1263,80.6902,62.463,73.9626,62.463,62.463,58.4406,65.5181,64.0495,2.653521
1,79,119,1.9875,62.4091,62.4091,60.1305,80.6949,62.4091,73.9271,62.4091,62.4091,58.4099,65.4763,64.0671,2.665084
1,80,120,2.0,62.3408,62.3408,60.1411,80.6707,62.3408,73.887,62.3408,62.3408,58.3895,65.3979,64.412,2.671246
2,1,121,2.0125,57.2487,57.2487,39.7664,76.2031,57.2487,53.8706,57.2487,57.2487,37.9269,61.255,69.9533,2.709689
2,2,122,2.025,57.7987,57.7987,41.9674,77.868,57.7987,62.2136,57.7987,57.7987,41.2332,60.7419,79.3335,2.482116
2,3,123,2.0375,57.143,57.143,43.4141,77.2845,57.143,60.7369,57.143,57.143,39.4479,57.3581,77.5306,2.089289
2,4,124,2.05,56.9482,56.9482,39.1569,74.087,56.9482,62.1832,56.9482,56.9482,39.1916,57.3519,78.6169,2.077651
2,5,125,2.0625,58.6822,58.6822,44.8211,79.0256,58.6822,64.73,58.6822,58.6822,44.4895,62.2388,76.006,2.154848
2,6,126,2.075,58.8403,58.8403,44.3219,79.0577,58.8403,65.6152,58.8403,58.8403,44.0659,62.1049,76.2492,2.259237
2,7,127,2.0875,58.4089,58.4089,45.2358,79.2885,58.4089,65.8091,58.4089,58.4089,44.9023,62.0881,76.4335,2.227458
2,8,128,2.1,58.4568,58.4568,44.8635,79.6598,58.4568,66.1062,58.4568,58.4568,44.2683,62.1203,76.8297,2.269354
2,9,129,2.1125,57.4113,57.4113,44.7833,79.3212,57.4113,65.6985,57.4113,57.4113,43.8664,61.2127,78.6808,2.370923
2,10,130,2.125,57.3657,57.3657,44.975,79.4635,57.3657,66.5579,57.3657,57.3657,44.0486,60.2457,82.4254,2.401573
2,11,131,2.1375,57.1704,57.1704,44.5541,78.5926,57.1704,65.4485,57.1704,57.1704,43.8688,60.9369,78.4189,2.340517
2,12,132,2.15,55.7582,55.7582,46.4119,79.927,55.7582,65.4008,55.7582,55.7582,44.2993,59.6261,82.7131,2.495637
2,13,133,2.1625,55.6842,55.6842,46.2296,79.1275,55.6842,65.9367,55.6842,55.6842,44.4343,59.3831,83.4595,2.528538
2,14,134,2.175,57.705,57.705,46.7529,79.7834,57.705,66.6199,57.705,57.705,45.5388,61.6971,78.7467,2.522039
2,15,135,2.1875,56.7255,56.7255,46.4349,78.5446,56.7255,65.7114,56.7255,56.7255,45.1557,61.1354,78.1398,2.529496
2,16,136,2.2,56.2794,56.2794,46.6124,79.271,56.2794,65.9584,56.2794,56.2794,45.0371,60.2122,81.1754,2.617873
2,17,137,2.2125,55.7951,55.7951,47.0816,78.3787,55.7951,65.7952,55.7951,55.7951,45.194,60.1711,80.7653,2.695712
2,18,138,2.225,54.8315,54.8315,47.5395,79.377,54.8315,65.6381,54.8315,54.8315,44.968,58.9276,83.6462,2.777831
2,19,139,2.2375,55.1978,55.1978,45.4497,79.2065,55.1978,65.7429,55.1978,55.1978,43.4116,58.9363,84.3409,2.761934
2,20,140,2.25,53.6385,53.6385,47.6291,79.8103,53.6385,65.1484,53.6385,53.6385,44.1291,57.8074,86.0256,2.913527
2,21,141,2.2625,54.4395,54.4395,47.8475,79.5156,54.4395,65.7338,54.4395,54.4395,44.8883,58.2653,85.7144,2.83487
2,22,142,2.275,55.2148,55.2148,47.6965,79.1262,55.2148,65.5786,55.2148,55.2148,44.5463,57.0349,89.5998,2.750024
2,23,143,2.2875,54.3109,54.3109,48.5802,79.4883,54.3109,65.7621,54.3109,54.3109,45.5165,57.8928,87.9063,2.981225
2,24,144,2.3,53.601,53.601,48.969,79.7943,53.601,65.5374,53.601,53.601,45.3081,57.4291,88.3375,3.08212
2,25,145,2.3125,52.4164,52.4164,49.1227,80.0065,52.4164,65.1361,52.4164,52.4164,44.551,56.2893,89.9531,3.203526
2,26,146,2.325,54.4158,54.4158,48.9152,79.9072,54.4158,65.6206,54.4158,54.4158,45.633,58.4653,86.017,3.010195
2,27,147,2.3375,55.9293,55.9293,46.9526,72.5178,55.9293,66.367,55.9293,55.9293,46.5247,58.8026,86.8751,3.073859
2,28,148,2.35,53.7915,53.7915,48.8494,80.9111,53.7915,65.4967,53.7915,53.7915,44.9361,58.0027,87.0039,3.028956
2,29,149,2.3625,53.2473,53.2473,48.1974,80.3963,53.2473,65.0094,53.2473,53.2473,44.2538,57.3638,87.276,3.091841
2,30,150,2.375,53.0819,53.0819,48.9843,80.3229,53.0819,65.1267,53.0819,53.0819,44.7153,56.7145,89.588,3.136872
2,31,151,2.3875,53.158,53.158,49.3967,80.8943,53.158,65.0555,53.158,53.158,44.8258,57.3097,88.2931,3.282794
2,32,152,2.4,54.7765,54.7765,49.7127,80.8635,54.7765,66.0158,54.7765,54.7765,46.1179,58.7173,86.9713,3.056245
2,33,153,2.4125,54.2276,54.2276,50.7823,81.3441,54.2276,66.4224,54.2276,54.2276,46.4169,57.6157,89.9841,3.192487
2,34,154,2.425,53.3832,53.3832,50.1084,81.3625,53.3832,65.7081,53.3832,53.3832,45.584,56.9608,90.4806,3.325924
2,35,155,2.4375,53.6864,53.6864,50.8864,81.6238,53.6864,65.8931,53.6864,53.6864,46.1068,57.611,89.3618,3.325866
2,36,156,2.45,54.342,54.342,50.9301,81.6049,54.342,66.2641,54.342,54.342,46.4862,58.0798,89.2107,3.297531
2,37,157,2.4625,50.1562,50.1562,39.5506,61.6569,50.1562,61.5494,50.1562,50.1562,39.985,50.5989,93.4643,3.125979
2,38,158,2.475,54.5757,54.5757,51.2549,81.287,54.5757,66.3727,54.5757,54.5757,46.9479,58.3829,88.9045,3.280408
2,39,159,2.4875,53.9587,53.9587,51.2027,81.688,53.9587,65.683,53.9587,53.9587,46.6037,58.2408,87.8094,3.461713
2,40,160,2.5,54.3234,54.3234,51.5747,81.392,54.3234,66.9029,54.3234,54.3234,47.4424,57.2853,92.2254,3.44582
2,41,161,2.5125,52.3182,52.3182,51.4957,81.855,52.3182,65.4292,52.3182,52.3182,45.6939,56.1878,91.6349,3.627019
2,42,162,2.525,52.644,52.644,51.6809,81.6949,52.644,65.6935,52.644,52.644,46.1306,56.2802,92.1226,3.584701
2,43,163,2.5375,53.5376,53.5376,47.929,69.6197,53.5376,65.5494,53.5376,53.5376,46.1129,56.1902,93.4511,3.319506
2,44,164,2.55,52.8946,52.8946,51.8836,81.756,52.8946,65.8682,52.8946,52.8946,46.3172,56.5418,91.8776,3.522768
2,45,165,2.5625,52.6263,52.6263,51.6834,81.7167,52.6263,65.6599,52.6263,52.6263,46.1121,56.3113,91.9934,3.589626
2,46,166,2.575,52.5631,52.5631,51.9311,81.7643,52.5631,65.6285,52.5631,52.5631,46.1515,56.2372,92.1336,3.621908
