task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
1,6,46,1.075,61.6223,61.6223,58.4422,81.617,61.6223,72.7224,61.6223,61.6223,54.9577,64.5602,73.0452,3.121377
1,7,47,1.0875,60.6802,60.6802,59.2316,84.3426,60.6802,72.2088,60.6802,60.6802,53.7695,63.5772,71.5482,3.178242
1,8,48,1.1,59.0355,59.0355,57.5435,80.4991,59.0355,70.4745,59.0355,59.0355,52.8203,62.2731,72.6016,3.301618
1,9,49,1.1125,63.7904,63.7904,60.8861,85.0999,63.7904,74.6129,63.7904,63.7904,57.352,66.9709,68.2843,3.068981
1,10,50,1.125,61.429,61.429,60.7304,85.0294,61.429,72.742,61.429,61.429,55.5236,65.1834,68.3088,3.191202
1,11,51,1.1375,61.893,61.893,59.954,84.7345,61.893,72.8226,61.893,61.893,55.0501,65.2671,67.3266,3.219351
1,12,52,1.15,63.321,63.321,60.2741,84.1562,63.321,74.4792,63.321,63.321,57.0009,66.81,65.605,3.175046
1,13,53,1.1625,63.5975,63.5975,60.2553,84.1052,63.5975,74.6951,63.5975,63.5975,57.183,67.117,64.1223,3.157688
1,14,54,1.175,63.1658,63.1658,60.4951,84.7802,63.1658,74.3519,63.1658,63.1658,56.7806,66.7202,67.7488,3.133265
1,15,55,1.1875,63.3545,63.3545,61.1328,85.6343,63.3545,74.5818,63.3545,63.3545,57.2006,67.2217,66.4645,3.110383
1,16,56,1.2,57.3587,57.3587,58.1423,82.2152,57.3587,70.5671,57.3587,57.3587,51.6491,59.4208,80.9454,3.433107
1,17,57,1.2125,61.1681,61.1681,60.2834,85.0342,61.1681,72.5421,61.1681,61.1681,54.7298,63.608,74.2389,3.146377
1,18,58,1.225,60.2824,60.2824,60.1106,84.9116,60.2824,72.2562,60.2824,60.2824,54.0902,62.9661,75.197,3.229902
1,19,59,1.2375,60.0831,60.0831,60.3272,83.9012,60.0831,72.2111,60.0831,60.0831,54.7676,62.9629,75.533,3.331583
1,20,60,1.25,62.476,62.476,60.8489,85.2286,62.476,74.6416,62.476,62.476,56.537,65.2587,73.7757,3.276244
1,21,61,1.2625,60.5281,60.5281,59.9369,85.5098,60.5281,73.4744,60.5281,60.5281,54.0328,62.0585,83.0244,3.231724
1,22,62,1.275,61.8552,61.8552,60.7649,85.7738,61.8552,74.1434,61.8552,61.8552,55.6151,63.9626,79.0667,3.300891
1,23,63,1.2875,61.9635,61.9635,62.9638,87.4817,61.9635,74.0999,61.9635,61.9635,56.3516,65.1269,77.5697,3.567179
1,24,64,1.3,60.493,60.493,62.9805,87.1449,60.493,73.5069,60.493,60.493,55.4949,62.408,84.513,3.684322
