task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
1,71,111,1.8875,65.5698,65.5698,67.0237,87.3351,65.5698,74.4063,65.5698,65.5698,62.3283,71.3075,39.8553,4.451397
1,72,112,1.9,65.5748,65.5748,64.7589,84.3328,65.5748,74.3492,65.5748,65.5748,62.2711,70.7831,39.4285,4.430667
1,73,113,1.9125,65.6866,65.6866,66.9924,87.3114,65.6866,74.4765,65.6866,65.6866,62.3841,71.3705,40.2363,4.266783
1,74,114,1.925,65.4805,65.4805,64.1938,84.2441,65.4805,74.2683,65.4805,65.4805,61.8826,70.6591,39.8842,4.384716
1,75,115,1.9375,65.7201,65.7201,67.4891,87.3687,65.7201,74.4296,65.7201,65.7201,62.6765,71.4402,39.523,4.360662
1,76,116,1.95,65.5119,65.5119,66.9173,87.2995,65.5119,74.3648,65.5119,65.5119,62.2356,71.2438,39.9628,4.518917
1,77,117,1.9625,65.7081,65.7081,66.9682,87.3181,65.7081,74.482,65.7081,65.7081,62.3691,71.3956,39.8931,4.255596
1,78,118,1.975,65.7288,65.7288,67.0356,87.3489,65.7288,74.5038,65.7288,65.7288,62.409,71.4319,39.708,4.296662
1,79,119,1.9875,65.5126,65.5126,64.2075,84.2507,65.5126,74.2867,65.5126,65.5126,61.8971,70.6868,39.6721,4.541239
1,80,120,2.0,65.6293,65.6293,67.3872,87.3392,65.6293,74.3845,65.6293,65.6293,62.536,71.3419,39.4174,4.430212
2,1,121,2.0125,48.0703,48.0703,49.4798,81.8796,48.0703,52.4805,48.0703,48.0703,40.5288,53.84,86.7742,6.142015
2,2,122,2.025,48.8496,48.8496,54.9305,86.7264,48.8496,59.5122,48.8496,48.8496,43.344,55.7457,86.5633,5.587047
2,3,123,2.0375,49.2185,49.2185,54.2969,85.8087,49.2185,59.0699,49.2185,49.2185,40.5462,55.7921,83.4847,5.914669
2,4,124,2.05,46.6965,46.6965,52.0817,86.7424,46.6965,54.0139,46.6965,46.6965,41.6019,54.6647,83.9658,6.420497
2,5,125,2.0625,49.1434,49.1434,54.2592,86.7583,49.1434,60.2976,49.1434,49.1434,43.049,56.0824,85.2981,5.848313
2,6,126,2.075,50.4143,50.4143,59.6098,88.5871,50.4143,62.3213,50.4143,50.4143,45.5952,57.1911,86.7944,5.318068
2,7,127,2.0875,49.0125,49.0125,53.2084,86.8563,49.0125,59.9776,49.0125,49.0125,43.847,56.5435,83.6289,5.728371
2,8,128,2.1,50.0145,50.0145,57.3016,88.1245,50.0145,60.6172,50.0145,50.0145,44.5358,57.7965,81.6212,5.567914
2,9,129,2.1125,52.014,52.014,54.2843,83.8347,52.014,63.2573,52.014,52.014,45.6548,57.5987,83.1471,5.024693
2,10,130,2.125,47.9378,47.9378,57.1381,88.1333,47.9378,59.746,47.9378,47.9378,43.9534,55.3984,85.8421,5.893296
2,11,131,2.1375,48.1546,48.1546,58.8734,88.898,48.1546,60.7287,48.1546,48.1546,43.8248,55.1709,87.7129,5.741812
2,12,132,2.15,52.0281,52.0281,60.7354,88.4654,52.0281,61.6542,52.0281,52.0281,46.3383,59.8728,78.4771,5.216781
2,13,133,2.1625,47.4971,47.4971,59.5853,88.8879,47.4971,60.7098,47.4971,47.4971,44.7372,54.5009,88.775,5.917879
2,14,134,2.175,50.846,50.846,61.968,89.0297,50.846,62.4816,50.846,50.846,46.7673,58.1041,84.096,5.179763
2,15,135,2.1875,52.2036,52.2036,60.6712,87.9966,52.2036,62.667,52.2036,52.2036,46.9662,59.9096,79.0966,5.014435
2,16,136,2.2,45.9129,45.9129,57.837,88.2487,45.9129,59.9974,45.9129,45.9129,44.8452,53.3389,89.0881,6.06196
2,17,137,2.2125,51.0916,51.0916,55.1638,84.5088,51.0916,63.5172,51.0916,51.0916,45.9102,56.4757,86.4717,5.122536
2,18,138,2.225,49.038,49.038,61.0891,88.3298,49.038,61.8457,49.038,49.038,45.8968,55.8407,88.6058,5.622033
2,19,139,2.2375,50.9975,50.9975,62.2351,88.0865,50.9975,63.0176,50.9975,50.9975,47.64,58.0701,84.2196,5.019512
2,20,140,2.25,52.1293,52.1293,54.798,82.8948,52.1293,63.8585,52.1293,52.1293,47.116,57.9938,82.1945,5.002741
2,21,141,2.2625,49.7125,49.7125,56.748,86.796,49.7125,61.3895,49.7125,49.7125,47.0726,57.3831,82.6661,5.560034
2,22,142,2.275,50.3555,50.3555,55.766,86.5233,50.3555,61.7305,50.3555,50.3555,46.3467,58.0298,81.8667,5.632062
2,23,143,2.2875,49.9724,49.9724,61.5376,87.5127,49.9724,62.2059,49.9724,49.9724,46.7924,56.9421,86.4877,5.36771
2,24,144,2.3,46.38,46.38,55.9022,86.1426,46.38,60.0508,46.38,46.38,44.5889,53.2771,89.4489,5.800833
2,25,145,2.3125,50.9586,50.9586,58.6834,86.7707,50.9586,63.0757,50.9586,50.9586,47.4262,58.0059,84.3853,5.116392
2,26,146,2.325,44.0288,44.0288,55.0352,85.1102,44.0288,58.7842,44.0288,44.0288,43.1223,50.6644,92.6658,6.259638
2,27,147,2.3375,40.4161,40.4161,45.7283,81.5364,40.4161,45.2411,40.4161,40.4161,33.3297,47.914,90.8613,6.563567
2,28,148,2.35,44.8978,44.8978,54.9957,82.7312,44.8978,59.1771,44.8978,44.8978,43.8813,51.6888,90.1734,5.968364
2,29,149,2.3625,47.5907,47.5907,62.4239,86.8669,47.5907,61.2745,47.5907,47.5907,45.5781,53.9955,91.1933,5.667377
2,30,150,2.375,47.6805,47.6805,55.5165,85.7385,47.6805,61.3163,47.6805,47.6805,45.0706,54.1559,91.2237,5.791028
2,31,151,2.3875,45.1752,45.1752,55.3641,83.8341,45.1752,59.7397,45.1752,45.1752,43.9774,51.6967,91.6169,5.990763
2,32,152,2.4,48.381,48.381,55.5955,85.218,48.381,61.4878,48.381,48.381,45.5868,55.0848,89.1474,5.725417
2,33,153,2.4125,48.6069,48.6069,62.7133,86.7862,48.6069,60.6329,48.6069,48.6069,45.7455,56.1088,83.6799,5.541764
2,34,154,2.425,51.7298,51.7298,55.94,83.1029,51.7298,64.0876,51.7298,51.7298,47.1593,57.411,84.4137,4.907408
2,35,155,2.4375,48.5521,48.5521,61.885,86.8061,48.5521,62.289,48.5521,48.5521,46.2351,54.803,91.6191,5.398464
2,36,156,2.45,43.5913,43.5913,46.5007,80.6604,43.5913,51.2138,43.5913,43.5913,35.8793,50.5884,88.862,6.016961
2,37,157,2.4625,48.3612,48.3612,61.2017,85.9964,48.3612,61.299,48.3612,48.3612,45.0622,54.799,88.7459,5.550659
2,38,158,2.475,49.5193,49.5193,58.6109,86.158,49.5193,63.1212,49.5193,49.5193,46.947,56.0012,89.3921,5.161826
2,39,159,2.4875,51.3058,51.3058,55.1501,82.2448,51.3058,64.5655,51.3058,51.3058,47.1932,56.3715,87.2394,4.811481
2,40,160,2.5,48.5776,48.5776,62.5729,86.7383,48.5776,62.3189,48.5776,48.5776,45.7984,54.7051,91.169,5.40917
2,41,161,2.5125,47.39,47.39,60.8887,85.3113,47.39,61.4313,47.39,47.39,44.635,53.0491,92.9622,5.6421
2,42,162,2.525,40.2578,40.2578,44.8705,77.9904,40.2578,46.6237,40.2578,40.2578,33.3388,47.0158,94.6303,6.283012
2,43,163,2.5375,46.5657,46.5657,61.9452,85.3441,46.5657,60.8933,46.5657,46.5657,44.3191,52.347,93.2423,5.800263
2,44,164,2.55,45.0458,45.0458,58.9314,82.1488,45.0458,60.0117,45.0458,45.0458,43.7958,51.1151,93.627,5.974087
2,45,165,2.5625,44.718,44.718,53.7467,80.0712,44.718,59.8908,44.718,44.718,43.3853,50.5772,94.5675,6.153577
2,46,166,2.575,39.5212,39.5212,44.736,76.4496,39.5212,46.5103,39.5212,39.5212,33.0032,46.195,95.5995,6.5613
2,47,167,2.5875,44.4602,44.4602,54.0164,79.6986,44.4602,59.7785,44.4602,44.4602,43.3271,50.3325,94.721,6.226156
2,48,168,2.6,48.7399,48.7399,61.9869,86.5281,48.7399,62.9587,48.7399,48.7399,46.2929,54.7875,92.0558,5.45289
2,49,169,2.6125,46.0927,46.0927,61.75,84.473,46.0927,60.4892,46.0927,46.0927,44.0387,51.9906,93.1827,5.876743
2,50,170,2.625,43.7696,43.7696,61.2926,83.0171,43.7696,59.1412,43.7696,43.7696,43.0761,50.0304,93.8808,6.068389
2,51,171,2.6375,49.3297,49.3297,58.3128,85.3692,49.3297,63.3562,49.3297,49.3297,46.9619,55.2543,91.7828,5.199469
2,52,172,2.65,42.4176,42.4176,46.2764,78.4599,42.4176,51.5648,42.4176,42.4176,35.6851,48.7382,93.6109,6.012549
2,53,173,2.6625,49.3244,49.3244,60.9074,86.037,49.3244,63.1594,49.3244,49.3244,46.7097,55.2631,91.6584,5.218886
