task,round,global_round,task_progress,acc,prec_mic,prec_mac,prec_wei,rec_mic,rec_mac,rec_wei,f1_mic,f1_mac,f1_wei,fpr,loss
2,6,126,2.075,54.2355,54.2355,47.3227,72.9796,54.2355,62.3333,54.2355,54.2355,46.0417,59.4634,76.2038,2.380592
2,7,127,2.0875,56.6673,56.6673,47.8745,75.9294,56.6673,64.3858,56.6673,56.6673,47.7997,61.51,73.4379,2.36304
2,8,128,2.1,55.4268,55.4268,47.2631,76.8961,55.4268,65.125,55.4268,55.4268,46.4947,60.1176,77.4582,2.442433
2,9,129,2.1125,55.1264,55.1264,46.8129,73.4859,55.1264,64.5712,55.1264,55.1264,47.0489,59.8274,77.4953,2.50338
2,10,130,2.125,53.2434,53.2434,47.354,72.1768,53.2434,60.4667,53.2434,53.2434,42.9747,57.8242,68.5202,2.454197
2,11,131,2.1375,53.706,53.706,46.5798,78.3288,53.706,63.2095,53.706,53.706,45.1023,58.9233,79.0584,2.617672
2,12,132,2.15,53.2214,53.2214,47.5678,79.4719,53.2214,63.1854,53.2214,53.2214,45.3191,57.9969,83.423,2.648469
2,13,133,2.1625,53.751,53.751,46.0539,74.5021,53.751,63.37,53.751,53.751,45.1366,58.9307,79.7051,2.608543
2,14,134,2.175,51.6377,51.6377,48.2955,79.2264,51.6377,61.8462,51.6377,51.6377,45.6143,56.369,84.849,2.726213
2,15,135,2.1875,55.1522,55.1522,46.4623,75.2295,55.1522,62.6437,55.1522,55.1522,45.0722,60.6031,75.6111,2.554356
2,16,136,2.2,51.2137,51.2137,48.7203,81.9444,51.2137,62.2221,51.2137,51.2137,44.4297,56.6113,86.2722,2.901515
2,17,137,2.2125,52.4219,52.4219,46.2802,78.1131,52.4219,62.4513,52.4219,52.4219,44.1265,57.0656,84.4029,2.747363
2,18,138,2.225,53.2816,53.2816,48.1789,80.5235,53.2816,62.7754,53.2816,53.2816,45.3209,58.2526,83.2409,2.749742
